keyword,period,ratio
남영동 맛집,2022-05-01,87.99593
남영동 맛집,2022-06-01,73.44862
남영동 맛집,2022-07-01,76.15717
남영동 맛집,2022-08-01,77.30162
남영동 맛집,2022-09-01,64.72533
남영동 맛집,2022-10-01,76.28433
남영동 맛집,2022-11-01,75.85198
남영동 맛집,2022-12-01,75.08901
남영동 맛집,2023-01-01,67.70091
남영동 맛집,2023-02-01,72.85096
남영동 맛집,2023-03-01,71.35045
남영동 맛집,2023-04-01,63.94964
남영동 맛집,2023-05-01,61.03763
남영동 맛집,2023-06-01,59.07934
남영동 맛집,2023-07-01,56.65055
남영동 맛집,2023-08-01,59.7533
남영동 맛집,2023-09-01,51.29704
남영동 맛집,2023-10-01,60.36368
남영동 맛집,2023-11-01,87.13123
남영동 맛집,2023-12-01,54.39979
남영동 맛집,2024-01-01,60.16022
남영동 맛집,2024-02-01,49.19888
남영동 맛집,2024-03-01,50.20345
남영동 맛집,2024-04-01,49.08443
남영동 맛집,2024-05-01,100
남영동 맛집,2024-06-01,56.67599
남영동 맛집,2024-07-01,56.75228
남영동 맛집,2024-08-01,60.80874
남영동 맛집,2024-09-01,65.47558
남영동 맛집,2024-10-01,96.56663
남영동 맛집,2024-11-01,81.86673
남영동 맛집,2024-12-01,65.81892
남영동 카페,2019-01-01,4.83367
남영동 카페,2019-02-01,5.76923
남영동 카페,2019-03-01,9.9792
남영동 카페,2019-04-01,3.84615
남영동 카페,2019-05-01,4.158
남영동 카페,2019-06-01,4.158
남영동 카페,2019-07-01,5.09355
남영동 카페,2019-08-01,4.00207
남영동 카페,2019-09-01,3.63825
남영동 카페,2019-10-01,5.4054
남영동 카페,2019-11-01,7.79625
남영동 카페,2019-12-01,4.26195
남영동 카페,2020-01-01,8.21205
남영동 카페,2020-02-01,6.60083
남영동 카페,2020-03-01,8.1081
남영동 카페,2020-04-01,12.62993
남영동 카페,2020-05-01,10.70686
남영동 카페,2020-06-01,12.47401
남영동 카페,2020-07-01,10.60291
남영동 카페,2020-08-01,11.85031
남영동 카페,2020-09-01,5.71725
남영동 카페,2020-10-01,12.47401
남영동 카페,2020-11-01,10.86278
남영동 카페,2020-12-01,0.6237
남영동 카페,2021-01-01,8.7318
남영동 카페,2021-02-01,14.08523
남영동 카페,2021-03-01,17.82744
남영동 카페,2021-04-01,19.80249
남영동 카페,2021-05-01,18.65904
남영동 카페,2021-06-01,17.67151
남영동 카페,2021-07-01,17.35966
남영동 카페,2021-08-01,21.62162
남영동 카페,2021-09-01,16.42411
남영동 카페,2021-10-01,24.58419
남영동 카페,2021-11-01,21.98544
남영동 카페,2021-12-01,19.64656
남영동 카페,2022-01-01,32.0686
남영동 카페,2022-02-01,30.66528
남영동 카페,2022-03-01,38.09771
남영동 카페,2022-04-01,38.77338
남영동 카페,2022-05-01,40.59251
남영동 카페,2022-06-01,39.91683
남영동 카페,2022-07-01,45.73804
남영동 카페,2022-08-01,40.69646
남영동 카페,2022-09-01,32.38045
남영동 카페,2022-10-01,35.39501
남영동 카페,2022-11-01,28.43035
남영동 카페,2022-12-01,32.12058
남영동 카페,2023-01-01,34.45945
남영동 카페,2023-02-01,33.7318
남영동 카페,2023-03-01,36.27858
남영동 카페,2023-04-01,25.51975
남영동 카페,2023-05-01,24.42827
남영동 카페,2023-06-01,23.70062
남영동 카페,2023-07-01,22.14137
남영동 카페,2023-08-01,22.71309
남영동 카페,2023-09-01,19.95841
남영동 카페,2023-10-01,18.81496
남영동 카페,2023-11-01,21.10187
남영동 카페,2023-12-01,25.8316
남영동 카페,2024-01-01,22.03742
남영동 카페,2024-02-01,25.05197
남영동 카페,2024-03-01,27.33887
남영동 카페,2024-04-01,24.68814
남영동 카페,2024-05-01,25.6237
남영동 카페,2024-06-01,29.10602
남영동 카페,2024-07-01,22.66112
남영동 카페,2024-08-01,29.62577
남영동 카페,2024-09-01,26.14345
남영동 카페,2024-10-01,38.20166
남영동 카페,2024-11-01,34.87525
남영동 카페,2024-12-01,35.75883
남현동 맛집,2019-01-01,24.53222
남현동 맛집,2019-02-01,19.85446
남현동 맛집,2019-03-01,20.58212
남현동 맛집,2019-04-01,15.64449
남현동 맛집,2019-05-01,21.30977
남현동 맛집,2019-06-01,24.27234
남현동 맛집,2019-07-01,24.37629
남현동 맛집,2019-08-01,23.44074
남현동 맛집,2019-09-01,16.78794
남현동 맛집,2019-10-01,28.9501
남현동 맛집,2019-11-01,25.57172
남현동 맛집,2019-12-01,27.4948
남현동 맛집,2020-01-01,18.34719
남현동 맛집,2020-02-01,20.27027
남현동 맛집,2020-03-01,18.81496
남현동 맛집,2020-04-01,24.01247
남현동 맛집,2020-05-01,29.158
남현동 맛집,2020-06-01,22.03742
남현동 맛집,2020-07-01,25.77962
남현동 맛집,2020-08-01,20.63409
남현동 맛집,2020-09-01,20.06237
남현동 맛집,2020-10-01,21.46569
남현동 맛집,2020-11-01,20.11434
남현동 맛집,2020-12-01,17.51559
남현동 맛집,2021-01-01,16.89189
남현동 맛집,2021-02-01,22.24532
남현동 맛집,2021-03-01,25.25987
남현동 맛집,2021-04-01,26.97505
남현동 맛집,2021-05-01,32.12058
남현동 맛집,2021-06-01,30.1975
남현동 맛집,2021-07-01,29.00207
남현동 맛집,2021-08-01,24.06444
남현동 맛집,2021-09-01,26.61122
남현동 맛집,2021-10-01,31.4449
남현동 맛집,2021-11-01,32.0686
남현동 맛집,2021-12-01,27.54677
남현동 맛집,2022-01-01,21.51767
남현동 맛집,2022-02-01,20.47817
남현동 맛집,2022-03-01,23.70062
남현동 맛집,2022-04-01,25.05197
남현동 맛집,2022-05-01,32.64033
남현동 맛집,2022-06-01,34.19958
남현동 맛집,2022-07-01,35.60291
남현동 맛집,2022-08-01,30.71725
남현동 맛집,2022-09-01,26.50727
남현동 맛집,2022-10-01,29.31392
남현동 맛집,2022-11-01,35.44698
남현동 맛집,2022-12-01,35.29106
남현동 맛집,2023-01-01,24.53222
남현동 맛집,2023-02-01,28.3264
남현동 맛집,2023-03-01,32.2765
남현동 맛집,2023-04-01,26.0395
남현동 맛집,2023-05-01,32.17255
남현동 맛집,2023-06-01,29.5738
남현동 맛집,2023-07-01,27.65072
남현동 맛집,2023-08-01,29.20997
남현동 맛집,2023-09-01,23.59667
남현동 맛집,2023-10-01,24.68814
남현동 맛집,2023-11-01,19.54261
남현동 맛집,2023-12-01,24.53222
남현동 맛집,2024-01-01,20.53014
남현동 맛집,2024-02-01,17.77546
남현동 맛집,2024-03-01,22.86902
남현동 맛집,2024-04-01,19.54261
남현동 맛집,2024-05-01,19.43866
남현동 맛집,2024-06-01,19.59459
남현동 맛집,2024-07-01,20.53014
남현동 맛집,2024-08-01,17.25571
남현동 맛집,2024-09-01,20.37422
남현동 맛집,2024-10-01,19.54261
남현동 맛집,2024-11-01,17.09979
남현동 맛집,2024-12-01,15.74844
남현동 카페,2019-01-01,5.4054
남현동 카페,2019-02-01,1.55925
남현동 카페,2019-03-01,2.54677
남현동 카페,2019-04-01,1.71517
남현동 카페,2019-05-01,1.92307
남현동 카페,2019-06-01,2.079
남현동 카페,2019-07-01,1.71517
남현동 카페,2019-08-01,5.04158
남현동 카페,2019-09-01,3.63825
남현동 카페,2019-10-01,2.96257
남현동 카페,2019-11-01,2.80665
남현동 카페,2019-12-01,3.43035
남현동 카페,2020-01-01,3.89812
남현동 카페,2020-02-01,4.83367
남현동 카페,2020-03-01,5.97713
남현동 카페,2020-04-01,10.39501
남현동 카페,2020-05-01,6.54885
남현동 카페,2020-06-01,4.7817
남현동 카페,2020-07-01,3.89812
남현동 카페,2020-08-01,6.13305
남현동 카페,2020-09-01,3.79417
남현동 카페,2020-10-01,3.22245
남현동 카페,2020-11-01,2.33887
남현동 카페,2020-12-01,0.8316
남현동 카페,2021-01-01,4.26195
남현동 카페,2021-02-01,4.158
남현동 카페,2021-03-01,5.14553
남현동 카페,2021-04-01,4.9896
남현동 카페,2021-05-01,3.63825
남현동 카페,2021-06-01,4.52182
남현동 카페,2021-07-01,3.89812
남현동 카페,2021-08-01,2.59875
남현동 카페,2021-09-01,5.14553
남현동 카페,2021-10-01,4.62577
남현동 카페,2021-11-01,3.9501
남현동 카페,2021-12-01,3.7422
남현동 카페,2022-01-01,3.89812
남현동 카페,2022-02-01,3.58627
남현동 카페,2022-03-01,2.96257
남현동 카페,2022-04-01,4.31392
남현동 카페,2022-05-01,4.20997
남현동 카페,2022-06-01,4.5738
남현동 카페,2022-07-01,5.71725
남현동 카페,2022-08-01,3.63825
남현동 카페,2022-09-01,4.10602
남현동 카페,2022-10-01,5.45738
남현동 카페,2022-11-01,2.85862
남현동 카페,2022-12-01,2.23492
남현동 카페,2023-01-01,3.27442
남현동 카페,2023-02-01,5.30145
남현동 카페,2023-03-01,3.3264
남현동 카페,2023-04-01,3.9501
남현동 카페,2023-05-01,2.44282
남현동 카페,2023-06-01,2.33887
남현동 카페,2023-07-01,3.69022
남현동 카페,2023-08-01,2.9106
남현동 카페,2023-09-01,3.1185
남현동 카페,2023-10-01,2.9106
남현동 카페,2023-11-01,5.14553
남현동 카페,2023-12-01,3.01455
남현동 카페,2024-01-01,5.04158
남현동 카페,2024-02-01,3.3264
남현동 카페,2024-03-01,3.22245
남현동 카페,2024-04-01,3.22245
남현동 카페,2024-05-01,1.09147
남현동 카페,2024-06-01,2.2869
남현동 카페,2024-07-01,2.7027
남현동 카페,2024-08-01,2.33887
남현동 카페,2024-09-01,2.59875
남현동 카페,2024-10-01,1.61122
남현동 카페,2024-11-01,2.7027
남현동 카페,2024-12-01,1.8711
내곡동 맛집,2019-01-01,49.74012
내곡동 맛집,2019-02-01,47.40124
내곡동 맛집,2019-03-01,59.3555
내곡동 맛집,2019-04-01,58.41995
내곡동 맛집,2019-05-01,64.18918
내곡동 맛집,2019-06-01,65.22869
내곡동 맛집,2019-07-01,64.86486
내곡동 맛집,2019-08-01,71.56964
내곡동 맛집,2019-09-01,57.0686
내곡동 맛집,2019-10-01,70.27027
내곡동 맛집,2019-11-01,72.40124
내곡동 맛집,2019-12-01,68.19126
내곡동 맛집,2020-01-01,57.95218
내곡동 맛집,2020-02-01,54.158
내곡동 맛집,2020-03-01,51.97505
내곡동 맛집,2020-04-01,72.55717
내곡동 맛집,2020-05-01,89.76091
내곡동 맛집,2020-06-01,82.79625
내곡동 맛집,2020-07-01,95.42619
내곡동 맛집,2020-08-01,80.24948
내곡동 맛집,2020-09-01,55.97713
내곡동 맛집,2020-10-01,68.45114
내곡동 맛집,2020-11-01,62.99376
내곡동 맛집,2020-12-01,33.05613
내곡동 맛집,2021-01-01,34.09563
내곡동 맛집,2021-02-01,48.85654
내곡동 맛집,2021-03-01,78.43035
내곡동 맛집,2021-04-01,97.29729
내곡동 맛집,2021-05-01,90.59251
내곡동 맛집,2021-06-01,97.40124
내곡동 맛집,2021-07-01,82.95218
내곡동 맛집,2021-08-01,78.89812
내곡동 맛집,2021-09-01,80.76923
내곡동 맛집,2021-10-01,86.59043
내곡동 맛집,2021-11-01,83.47193
내곡동 맛집,2021-12-01,62.83783
내곡동 맛집,2022-01-01,67.87941
내곡동 맛집,2022-02-01,64.91683
내곡동 맛집,2022-03-01,71.56964
내곡동 맛집,2022-04-01,94.90644
내곡동 맛집,2022-05-01,100
내곡동 맛집,2022-06-01,98.28482
내곡동 맛집,2022-07-01,96.25779
내곡동 맛집,2022-08-01,83.16008
내곡동 맛집,2022-09-01,80.87318
내곡동 맛집,2022-10-01,94.75051
내곡동 맛집,2022-11-01,81.6528
내곡동 맛집,2022-12-01,81.8607
내곡동 맛집,2023-01-01,79.26195
내곡동 맛집,2023-02-01,79.10602
내곡동 맛집,2023-03-01,97.86902
내곡동 맛집,2023-04-01,97.08939
내곡동 맛집,2023-05-01,94.43866
내곡동 맛집,2023-06-01,85.91476
내곡동 맛집,2023-07-01,81.4449
내곡동 맛집,2023-08-01,83.62785
내곡동 맛집,2023-09-01,84.92723
내곡동 맛집,2023-10-01,79.7817
내곡동 맛집,2023-11-01,66.63201
내곡동 맛집,2023-12-01,70.99792
내곡동 맛집,2024-01-01,69.38669
내곡동 맛집,2024-02-01,65.22869
내곡동 맛집,2024-03-01,85.91476
내곡동 맛집,2024-04-01,79.83367
내곡동 맛집,2024-05-01,80.45738
내곡동 맛집,2024-06-01,79.10602
내곡동 맛집,2024-07-01,72.55717
내곡동 맛집,2024-08-01,79.62577
내곡동 맛집,2024-09-01,70.21829
내곡동 맛집,2024-10-01,69.69854
내곡동 맛집,2024-11-01,56.54885
내곡동 맛집,2024-12-01,52.9106
내곡동 카페,2019-01-01,9.1476
내곡동 카페,2019-02-01,12.73388
내곡동 카페,2019-03-01,13.98128
내곡동 카페,2019-04-01,10.44698
내곡동 카페,2019-05-01,12.99376
내곡동 카페,2019-06-01,15.69646
내곡동 카페,2019-07-01,16.11226
내곡동 카페,2019-08-01,15.95634
내곡동 카페,2019-09-01,16.21621
내곡동 카페,2019-10-01,17.72349
내곡동 카페,2019-11-01,17.20374
내곡동 카페,2019-12-01,14.44906
내곡동 카페,2020-01-01,16.94386
내곡동 카페,2020-02-01,17.25571
내곡동 카페,2020-03-01,24.32432
내곡동 카페,2020-04-01,41.42411
내곡동 카페,2020-05-01,50.36382
내곡동 카페,2020-06-01,42.77546
내곡동 카페,2020-07-01,44.90644
내곡동 카페,2020-08-01,43.86694
내곡동 카페,2020-09-01,29.26195
내곡동 카페,2020-10-01,37.83783
내곡동 카페,2020-11-01,25.2079
내곡동 카페,2020-12-01,4.67775
내곡동 카페,2021-01-01,11.07068
내곡동 카페,2021-02-01,25.57172
내곡동 카페,2021-03-01,30.6133
내곡동 카페,2021-04-01,38.35758
내곡동 카페,2021-05-01,48.49272
내곡동 카페,2021-06-01,33.62785
내곡동 카페,2021-07-01,36.12266
내곡동 카페,2021-08-01,36.79833
내곡동 카페,2021-09-01,38.56548
내곡동 카페,2021-10-01,39.29313
내곡동 카페,2021-11-01,30.24948
내곡동 카페,2021-12-01,23.33679
내곡동 카페,2022-01-01,28.89812
내곡동 카페,2022-02-01,27.96257
내곡동 카페,2022-03-01,27.80665
내곡동 카페,2022-04-01,39.81288
내곡동 카페,2022-05-01,40.74844
내곡동 카페,2022-06-01,36.74636
내곡동 카페,2022-07-01,34.45945
내곡동 카페,2022-08-01,35.23908
내곡동 카페,2022-09-01,36.59043
내곡동 카페,2022-10-01,39.50103
내곡동 카페,2022-11-01,27.59875
내곡동 카페,2022-12-01,27.96257
내곡동 카페,2023-01-01,30.1975
내곡동 카페,2023-02-01,25.2079
내곡동 카페,2023-03-01,33.05613
내곡동 카페,2023-04-01,32.12058
내곡동 카페,2023-05-01,36.43451
내곡동 카페,2023-06-01,28.89812
내곡동 카페,2023-07-01,27.079
내곡동 카페,2023-08-01,25.8316
내곡동 카페,2023-09-01,27.2869
내곡동 카페,2023-10-01,26.4553
내곡동 카페,2023-11-01,22.60914
내곡동 카페,2023-12-01,20.01039
내곡동 카페,2024-01-01,25.2079
내곡동 카페,2024-02-01,23.44074
내곡동 카페,2024-03-01,26.35135
내곡동 카페,2024-04-01,26.71517
내곡동 카페,2024-05-01,30.04158
내곡동 카페,2024-06-01,28.22245
내곡동 카페,2024-07-01,25.05197
내곡동 카페,2024-08-01,32.12058
내곡동 카페,2024-09-01,29.26195
내곡동 카페,2024-10-01,25.6237
내곡동 카페,2024-11-01,21.10187
내곡동 카페,2024-12-01,21.88149
노량진1동 맛집,2020-11-01,0.26838
노량진1동 맛집,2022-02-01,0.26838
노량진1동 맛집,2022-06-01,0.26838
노량진1동 맛집,2024-03-01,0.26838
노량진1동 카페,2022-07-01,0.26838
노량진2동 맛집,2019-03-01,0.26838
노량진2동 맛집,2019-06-01,0.32206
노량진2동 맛집,2019-08-01,0.26838
노량진2동 맛집,2019-10-01,0.26838
노량진2동 맛집,2020-01-01,0.32206
노량진2동 맛집,2020-03-01,0.37573
노량진2동 맛집,2020-04-01,0.26838
노량진2동 맛집,2020-05-01,0.26838
노량진2동 맛집,2020-10-01,0.26838
노량진2동 맛집,2020-11-01,0.37573
노량진2동 맛집,2021-01-01,0.32206
노량진2동 맛집,2021-04-01,0.53676
노량진2동 맛집,2021-05-01,0.37573
노량진2동 맛집,2021-07-01,0.26838
노량진2동 맛집,2021-11-01,0.26838
노량진2동 맛집,2021-12-01,0.26838
노량진2동 맛집,2022-04-01,0.32206
노량진2동 맛집,2022-07-01,0.26838
노량진2동 맛집,2022-08-01,0.26838
녹번동 맛집,2019-01-01,66.82769
녹번동 맛집,2019-02-01,58.29307
녹번동 맛집,2019-03-01,58.88352
녹번동 맛집,2019-04-01,58.29307
녹번동 맛집,2019-05-01,67.7402
녹번동 맛집,2019-06-01,50.72463
녹번동 맛집,2019-07-01,61.78207
녹번동 맛집,2019-08-01,64.09017
녹번동 맛집,2019-09-01,50.02683
녹번동 맛집,2019-10-01,61.62104
녹번동 맛집,2019-11-01,63.07031
녹번동 맛집,2019-12-01,67.52549
녹번동 맛집,2020-01-01,60.22544
녹번동 맛집,2020-02-01,68.86741
녹번동 맛집,2020-03-01,64.09017
녹번동 맛집,2020-04-01,55.34084
녹번동 맛집,2020-05-01,74.39613
녹번동 맛집,2020-06-01,70.10198
녹번동 맛집,2020-07-01,67.7402
녹번동 맛집,2020-08-01,63.39237
녹번동 맛집,2020-09-01,39.07675
녹번동 맛집,2020-10-01,58.02469
녹번동 맛집,2020-11-01,55.71658
녹번동 맛집,2020-12-01,37.89586
녹번동 맛집,2021-01-01,41.9753
녹번동 맛집,2021-02-01,50.34889
녹번동 맛집,2021-03-01,58.82984
녹번동 맛집,2021-04-01,62.26516
녹번동 맛집,2021-05-01,73.96672
녹번동 맛집,2021-06-01,72.62479
녹번동 맛집,2021-07-01,58.18572
녹번동 맛집,2021-08-01,70.31669
녹번동 맛집,2021-09-01,68.70638
녹번동 맛집,2021-10-01,75.41599
녹번동 맛집,2021-11-01,75.25496
녹번동 맛집,2021-12-01,68.81374
녹번동 맛집,2022-01-01,59.58132
녹번동 맛집,2022-02-01,53.67686
녹번동 맛집,2022-03-01,62.42619
녹번동 맛집,2022-04-01,76.59688
녹번동 맛집,2022-05-01,100
녹번동 맛집,2022-06-01,87.2249
녹번동 맛집,2022-07-01,87.17122
녹번동 맛집,2022-08-01,94.25657
녹번동 맛집,2022-09-01,76.11379
녹번동 맛집,2022-10-01,73.26892
녹번동 맛집,2022-11-01,85.18518
녹번동 맛집,2022-12-01,92.86097
녹번동 맛집,2023-01-01,81.15942
녹번동 맛집,2023-02-01,78.85131
녹번동 맛집,2023-03-01,80.67632
녹번동 맛집,2023-04-01,82.28663
녹번동 맛집,2023-05-01,91.14331
녹번동 맛집,2023-06-01,83.09178
녹번동 맛집,2023-07-01,75.36231
녹번동 맛집,2023-08-01,69.29683
녹번동 맛집,2023-09-01,55.82393
녹번동 맛집,2023-10-01,53.30112
녹번동 맛집,2023-11-01,52.06655
녹번동 맛집,2023-12-01,61.67471
녹번동 맛집,2024-01-01,63.66076
녹번동 맛집,2024-02-01,52.92538
녹번동 맛집,2024-03-01,61.29898
녹번동 맛집,2024-04-01,55.77026
녹번동 맛집,2024-05-01,54.58937
녹번동 맛집,2024-06-01,53.14009
녹번동 맛집,2024-07-01,53.08641
녹번동 맛집,2024-08-01,62.05045
녹번동 맛집,2024-09-01,47.28931
녹번동 맛집,2024-10-01,52.06655
녹번동 맛집,2024-11-01,47.18196
녹번동 맛집,2024-12-01,47.39667
녹번동 카페,2019-01-01,68.82352
녹번동 카페,2019-02-01,43.52941
녹번동 카페,2019-03-01,38.82352
녹번동 카페,2019-04-01,48.82352
녹번동 카페,2019-05-01,68.23529
녹번동 카페,2019-06-01,70.58823
녹번동 카페,2019-07-01,54.70588
녹번동 카페,2019-08-01,57.05882
녹번동 카페,2019-09-01,41.7647
녹번동 카페,2019-10-01,30
녹번동 카페,2019-11-01,55.88235
녹번동 카페,2019-12-01,31.7647
녹번동 카페,2020-01-01,65.88235
녹번동 카페,2020-02-01,60.58823
녹번동 카페,2020-03-01,41.7647
녹번동 카페,2020-04-01,55.88235
녹번동 카페,2020-05-01,77.64705
녹번동 카페,2020-06-01,80
녹번동 카페,2020-07-01,100
녹번동 카페,2020-08-01,42.94117
녹번동 카페,2020-09-01,65.29411
녹번동 카페,2020-10-01,76.47058
녹번동 카페,2020-11-01,53.52941
녹번동 카페,2021-01-01,19.41176
녹번동 카페,2021-02-01,59.41176
녹번동 카페,2021-03-01,69.41176
녹번동 카페,2021-04-01,79.41176
녹번동 카페,2021-05-01,82.94117
녹번동 카페,2021-06-01,65.29411
녹번동 카페,2021-07-01,76.47058
녹번동 카페,2021-08-01,78.82352
녹번동 카페,2021-09-01,98.82352
녹번동 카페,2021-10-01,94.70588
녹번동 카페,2021-11-01,90
녹번동 카페,2021-12-01,51.7647
녹번동 카페,2022-01-01,42.35294
녹번동 카페,2022-02-01,67.64705
녹번동 카페,2022-03-01,61.17647
녹번동 카페,2022-04-01,72.35294
녹번동 카페,2022-05-01,90
녹번동 카페,2022-06-01,94.11764
녹번동 카페,2022-07-01,78.23529
녹번동 카페,2022-08-01,78.82352
녹번동 카페,2022-09-01,65.88235
녹번동 카페,2022-10-01,64.11764
녹번동 카페,2022-11-01,80
녹번동 카페,2022-12-01,49.41176
녹번동 카페,2023-01-01,75.29411
녹번동 카페,2023-02-01,77.05882
녹번동 카페,2023-03-01,67.64705
녹번동 카페,2023-04-01,35.29411
녹번동 카페,2023-05-01,92.94117
녹번동 카페,2023-06-01,57.05882
녹번동 카페,2023-07-01,39.41176
녹번동 카페,2023-08-01,54.70588
녹번동 카페,2023-09-01,31.17647
녹번동 카페,2023-10-01,38.82352
녹번동 카페,2023-11-01,31.17647
녹번동 카페,2023-12-01,44.11764
녹번동 카페,2024-01-01,34.11764
녹번동 카페,2024-02-01,20
녹번동 카페,2024-03-01,54.70588
녹번동 카페,2024-04-01,28.23529
녹번동 카페,2024-05-01,44.70588
녹번동 카페,2024-06-01,36.47058
녹번동 카페,2024-07-01,22.94117
녹번동 카페,2024-08-01,28.82352
녹번동 카페,2024-09-01,22.35294
녹번동 카페,2024-10-01,15.88235
녹번동 카페,2024-11-01,20
녹번동 카페,2024-12-01,7.64705
논현1동 맛집,2019-02-01,6.47058
논현1동 맛집,2019-03-01,2.94117
논현1동 맛집,2019-05-01,3.52941
논현1동 맛집,2019-07-01,2.94117
논현1동 맛집,2019-08-01,4.70588
논현1동 맛집,2019-11-01,2.94117
논현1동 맛집,2020-04-01,9.41176
논현1동 맛집,2020-07-01,8.23529
논현1동 맛집,2020-08-01,11.17647
논현1동 맛집,2020-11-01,3.52941
논현1동 맛집,2021-01-01,12.94117
논현1동 맛집,2021-02-01,7.64705
논현1동 맛집,2021-04-01,3.52941
논현1동 맛집,2021-06-01,7.05882
논현1동 맛집,2021-09-01,2.94117
논현1동 맛집,2021-10-01,6.47058
논현1동 맛집,2021-11-01,6.47058
논현1동 맛집,2021-12-01,2.94117
논현1동 맛집,2022-02-01,7.05882
논현1동 맛집,2022-03-01,3.52941
논현1동 맛집,2022-05-01,7.64705
논현1동 맛집,2022-06-01,3.52941
논현1동 맛집,2022-07-01,3.52941
논현1동 맛집,2022-08-01,4.70588
논현1동 맛집,2022-12-01,3.52941
논현1동 맛집,2023-01-01,8.23529
논현1동 맛집,2023-02-01,7.05882
논현1동 맛집,2023-04-01,2.94117
논현1동 맛집,2024-05-01,2.94117
논현1동 맛집,2024-07-01,2.94117
논현1동 카페,2022-12-01,4.11764
논현2동 맛집,2019-01-01,20
논현2동 맛집,2019-02-01,25.29411
논현2동 맛집,2019-03-01,14.70588
논현2동 맛집,2019-04-01,10
논현2동 맛집,2019-05-01,14.11764
논현2동 맛집,2019-06-01,10.58823
논현2동 맛집,2019-07-01,14.70588
논현2동 맛집,2019-08-01,15.88235
논현2동 맛집,2019-09-01,9.41176
논현2동 맛집,2019-10-01,16.47058
논현2동 맛집,2019-11-01,28.82352
논현2동 맛집,2019-12-01,21.7647
논현2동 맛집,2020-01-01,12.94117
논현2동 맛집,2020-02-01,15.88235
논현2동 맛집,2020-03-01,12.94117
논현2동 맛집,2020-04-01,11.7647
논현2동 맛집,2020-05-01,22.94117
논현2동 맛집,2020-06-01,25.29411
논현2동 맛집,2020-07-01,15.29411
논현2동 맛집,2020-08-01,33.52941
논현2동 맛집,2020-09-01,8.23529
논현2동 맛집,2020-10-01,21.17647
논현2동 맛집,2020-11-01,9.41176
논현2동 맛집,2020-12-01,7.05882
논현2동 맛집,2021-01-01,21.7647
논현2동 맛집,2021-02-01,7.64705
논현2동 맛집,2021-03-01,28.23529
논현2동 맛집,2021-04-01,12.94117
논현2동 맛집,2021-05-01,17.64705
논현2동 맛집,2021-06-01,14.70588
논현2동 맛집,2021-07-01,14.11764
논현2동 맛집,2021-08-01,50
논현2동 맛집,2021-09-01,19.41176
논현2동 맛집,2021-10-01,17.64705
논현2동 맛집,2021-11-01,23.52941
논현2동 맛집,2021-12-01,20.58823
논현2동 맛집,2022-01-01,6.47058
논현2동 맛집,2022-02-01,2.94117
논현2동 맛집,2022-03-01,10
논현2동 맛집,2022-04-01,17.05882
논현2동 맛집,2022-05-01,38.23529
논현2동 맛집,2022-06-01,14.70588
논현2동 맛집,2022-07-01,20.58823
논현2동 맛집,2022-08-01,17.64705
논현2동 맛집,2022-09-01,17.05882
논현2동 맛집,2022-10-01,20
논현2동 맛집,2022-11-01,25.88235
논현2동 맛집,2022-12-01,27.64705
논현2동 맛집,2023-01-01,5.88235
논현2동 맛집,2023-02-01,11.17647
논현2동 맛집,2023-03-01,20.58823
논현2동 맛집,2023-04-01,10
논현2동 맛집,2023-05-01,3.52941
논현2동 맛집,2023-06-01,15.88235
논현2동 맛집,2023-07-01,4.70588
논현2동 맛집,2023-08-01,12.35294
논현2동 맛집,2023-09-01,9.41176
논현2동 맛집,2023-10-01,5.88235
논현2동 맛집,2023-11-01,8.82352
논현2동 맛집,2023-12-01,7.05882
논현2동 맛집,2024-02-01,6.47058
논현2동 맛집,2024-03-01,3.52941
논현2동 맛집,2024-04-01,7.05882
논현2동 맛집,2024-05-01,15.29411
논현2동 맛집,2024-06-01,6.47058
논현2동 맛집,2024-07-01,6.47058
논현2동 맛집,2024-10-01,12.94117
논현2동 맛집,2024-11-01,6.47058
논현2동 맛집,2024-12-01,4.11764
논현2동 카페,2019-06-01,4.70588
논현2동 카페,2020-04-01,2.94117
논현2동 카페,2022-05-01,2.94117
논현2동 카페,2022-10-01,3.52941
논현2동 카페,2023-04-01,3.52941
논현2동 카페,2023-11-01,2.94117
능동 맛집,2019-01-01,16.00938
능동 맛집,2019-02-01,14.02883
능동 맛집,2019-03-01,16.76511
능동 맛집,2019-04-01,15.37526
능동 맛집,2019-05-01,16.73036
능동 맛집,2019-06-01,14.41973
능동 맛집,2019-07-01,15.41
능동 맛집,2019-08-01,15.95726
능동 맛집,2019-09-01,12.29152
능동 맛집,2019-10-01,16.53057
능동 맛집,2019-11-01,16.48714
능동 맛집,2019-12-01,17.19075
능동 맛집,2020-01-01,16.91278
능동 맛집,2020-02-01,12.8822
능동 맛집,2020-03-01,12.71716
능동 맛집,2020-04-01,16.00069
능동 맛집,2020-05-01,21.23002
능동 맛집,2020-06-01,17.73801
능동 맛집,2020-07-01,20.23974
능동 맛집,2020-08-01,16.56532
능동 맛집,2020-09-01,11.17963
능동 맛집,2020-10-01,16.93015
능동 맛집,2020-11-01,17.06045
능동 맛집,2020-12-01,8.6779
능동 맛집,2021-01-01,11.62265
능동 맛집,2021-02-01,13.00382
능동 맛집,2021-03-01,16.46977
능동 맛집,2021-04-01,17.39054
능동 맛집,2021-05-01,21.20396
능동 맛집,2021-06-01,19.78804
능동 맛집,2021-07-01,16.86935
