user_hash,created_at,action,gender,age_band,channel
u2022,2025-09-14T19:08:00Z,comment,F,20s,app
u2044,2025-09-14T19:40:00Z,post,M,30s,app
u2029,2025-09-14T20:51:00Z,post,F,20s,app
u2022,2025-09-14T22:09:00Z,comment,F,20s,app
u2052,2025-09-15T08:49:00Z,comment,M,10s,app
u2052,2025-09-15T10:50:00Z,post,M,10s,app
u2028,2025-09-15T20:17:00Z,post,M,20s,web
u2032,2025-09-15T23:06:00Z,post,M,50s,app
u2028,2025-09-16T00:46:00Z,post,M,20s,web
u2032,2025-09-16T01:14:00Z,post,M,50s,app
u2044,2025-09-16T01:25:00Z,post,M,30s,app
u2044,2025-09-16T01:58:00Z,post,M,30s,app
u2028,2025-09-17T03:25:00Z,comment,M,20s,web
u2034,2025-09-17T08:51:00Z,comment,F,20s,app
u2034,2025-09-17T11:22:00Z,post,F,20s,app
u2049,2025-09-17T21:24:00Z,post,M,Unknown,app
u2049,2025-09-17T22:44:00Z,comment,M,Unknown,app
u2042,2025-09-18T13:02:00Z,comment,M,50s,app
u2034,2025-09-18T14:35:00Z,comment,F,20s,app
u2042,2025-09-18T15:00:00Z,post,M,50s,app
u2078,2025-09-18T23:40:00Z,post,F,10s,app
u2033,2025-09-19T00:03:00Z,post,M,30s,Unknown
u2078,2025-09-19T00:33:00Z,comment,F,10s,app
u2033,2025-09-19T00:50:00Z,post,M,30s,Unknown
u2049,2025-09-19T03:18:00Z,comment,M,Unknown,app
u2014,2025-09-19T07:51:00Z,comment,F,30s,web
u2014,2025-09-19T10:34:00Z,comment,F,30s,web
u2065,2025-09-19T17:25:00Z,post,M,50s,app
u2042,2025-09-19T18:15:00Z,post,M,50s,app
u2065,2025-09-19T20:59:00Z,post,M,50s,app
u2012,2025-09-19T21:19:00Z,post,F,50s,app
u2042,2025-09-19T22:25:00Z,post,M,50s,app
u2012,2025-09-20T01:54:00Z,post,F,50s,app
u2078,2025-09-20T04:37:00Z,post,F,10s,app
u2033,2025-09-20T04:43:00Z,post,M,30s,Unknown
u2033,2025-09-20T07:00:00Z,comment,M,30s,Unknown
u2076,2025-09-20T09:10:00Z,post,F,10s,web
u2076,2025-09-20T11:27:00Z,post,F,10s,web
u2045,2025-09-20T13:13:00Z,post,M,50s,app
u2066,2025-09-20T14:42:00Z,post,M,40s,web
u2014,2025-09-20T15:58:00Z,post,F,30s,web
u2045,2025-09-20T17:14:00Z,post,M,50s,app
u2066,2025-09-20T18:58:00Z,post,M,40s,web
u2065,2025-09-21T01:49:00Z,post,M,50s,app
u2065,2025-09-21T03:46:00Z,comment,M,50s,app
u2012,2025-09-21T04:22:00Z,post,F,50s,app
u2012,2025-09-21T05:44:00Z,post,F,50s,app
u2046,2025-09-21T09:35:00Z,comment,M,40s,app
u2046,2025-09-21T10:26:00Z,comment,M,40s,app
u2006,2025-09-21T10:57:00Z,post,Unknown,60s,app
u2076,2025-09-21T15:46:00Z,post,F,10s,web
u2006,2025-09-21T16:04:00Z,comment,Unknown,60s,app
u2058,2025-09-21T18:06:00Z,post,M,30s,app
u2066,2025-09-21T21:54:00Z,post,M,40s,web
u2058,2025-09-21T22:15:00Z,comment,M,30s,app
u2013,2025-09-22T16:12:00Z,comment,M,70s,app
u2006,2025-09-22T16:47:00Z,post,Unknown,60s,app
u2037,2025-09-22T17:48:00Z,comment,F,10s,app
u2013,2025-09-22T20:26:00Z,comment,M,70s,app
u2030,2025-09-22T20:32:00Z,post,F,70s,web
u2037,2025-09-22T21:33:00Z,post,F,10s,app
u2006,2025-09-22T22:36:00Z,comment,Unknown,60s,app
u2030,2025-09-23T00:10:00Z,comment,F,70s,web
u2051,2025-09-24T08:46:00Z,post,Unknown,50s,web
u2067,2025-09-24T09:39:00Z,comment,F,10s,app
u2051,2025-09-24T13:39:00Z,comment,Unknown,50s,web
u2067,2025-09-24T13:52:00Z,post,F,10s,app
u2063,2025-09-24T16:55:00Z,comment,M,30s,web
u2063,2025-09-24T19:50:00Z,post,M,30s,web
u2067,2025-09-25T14:56:00Z,comment,F,10s,app
u2031,2025-09-25T17:04:00Z,comment,F,Unknown,app
u2031,2025-09-25T22:34:00Z,comment,F,Unknown,app
u2009,2025-09-25T23:47:00Z,comment,M,40s,app
u2009,2025-09-26T01:19:00Z,post,M,40s,app
u2031,2025-09-27T00:02:00Z,comment,F,Unknown,app
u2031,2025-09-27T02:34:00Z,post,F,Unknown,app
u2009,2025-09-27T05:54:00Z,comment,M,40s,app
u2009,2025-09-27T07:18:00Z,comment,M,40s,app
u2069,2025-10-01T08:49:00Z,post,Unknown,30s,web
u2075,2025-10-01T09:03:00Z,post,M,20s,web
u2006,2025-10-01T09:15:00Z,comment,Unknown,60s,app
u2015,2025-10-01T09:55:00Z,comment,F,30s,web
u2015,2025-10-01T12:12:00Z,comment,F,30s,web
u2031,2025-10-01T13:00:00Z,comment,F,Unknown,app
u2069,2025-10-01T13:29:00Z,comment,Unknown,30s,web
u2031,2025-10-01T14:21:00Z,post,F,Unknown,app
u2006,2025-10-01T14:38:00Z,comment,Unknown,60s,app
u2075,2025-10-01T14:38:00Z,comment,M,20s,web
u2062,2025-10-01T18:23:00Z,post,F,40s,web
u2062,2025-10-01T20:11:00Z,post,F,40s,web
u2069,2025-10-02T15:00:00Z,post,Unknown,30s,web
u2075,2025-10-02T16:31:00Z,post,M,20s,web
u2020,2025-10-02T17:04:00Z,post,M,70s,app
u2006,2025-10-02T17:13:00Z,comment,Unknown,60s,app
u2075,2025-10-02T19:13:00Z,comment,M,20s,web
u2029,2025-10-02T19:50:00Z,post,F,20s,app
u2020,2025-10-02T20:12:00Z,comment,M,70s,app
u2069,2025-10-02T20:15:00Z,post,Unknown,30s,web
u2029,2025-10-02T23:29:00Z,comment,F,20s,app
u2062,2025-10-03T00:20:00Z,comment,F,40s,web
u2062,2025-10-03T03:01:00Z,comment,F,40s,web
u2029,2025-10-04T01:34:00Z,post,F,20s,app
u2018,2025-10-04T16:32:00Z,post,M,20s,web
u2005,2025-10-04T18:58:00Z,post,F,30s,app
u2018,2025-10-04T20:20:00Z,post,M,20s,web
u2005,2025-10-04T23:20:00Z,post,F,30s,app
u2030,2025-10-05T14:44:00Z,comment,F,70s,web
u2030,2025-10-05T17:28:00Z,comment,F,70s,web
u2005,2025-10-06T02:26:00Z,post,F,30s,app
u2005,2025-10-06T04:28:00Z,comment,F,30s,app
u2042,2025-10-07T16:31:00Z,post,M,50s,app
u2042,2025-10-07T18:35:00Z,comment,M,50s,app
u2002,2025-10-08T17:36:00Z,post,F,50s,web
u2022,2025-10-08T20:05:00Z,post,F,20s,app
u2002,2025-10-08T20:07:00Z,post,F,50s,web
u2034,2025-10-08T21:34:00Z,comment,F,20s,app
u2042,2025-10-08T23:50:00Z,post,M,50s,app
u2034,2025-10-09T00:56:00Z,comment,F,20s,app
u2022,2025-10-09T01:38:00Z,post,F,20s,app
u2042,2025-10-09T01:52:00Z,comment,M,50s,app
u2040,2025-10-09T14:55:00Z,comment,M,70s,web
u2080,2025-10-09T17:23:00Z,comment,Unknown,20s,web
u2040,2025-10-09T18:10:00Z,comment,M,70s,web
u2080,2025-10-09T19:18:00Z,post,Unknown,20s,web
u2034,2025-10-10T03:13:00Z,post,F,20s,app
u2073,2025-10-10T08:43:00Z,comment,M,20s,web
u2073,2025-10-10T12:06:00Z,comment,M,20s,web
u2024,2025-10-10T15:00:00Z,comment,F,30s,web
u2024,2025-10-10T16:55:00Z,post,F,30s,web
u2016,2025-10-10T20:47:00Z,post,F,20s,app
u2016,2025-10-10T23:15:00Z,post,F,20s,app
u2046,2025-10-11T10:23:00Z,post,M,40s,app
u2003,2025-10-11T11:21:00Z,post,F,30s,app
u2004,2025-10-11T12:27:00Z,comment,F,20s,app
u2046,2025-10-11T13:22:00Z,comment,M,40s,app
u2003,2025-10-11T15:42:00Z,post,F,30s,app
u2073,2025-10-11T16:01:00Z,comment,M,20s,web
u2004,2025-10-11T17:07:00Z,post,F,20s,app
u2023,2025-10-11T17:23:00Z,post,Unknown,30s,app
u2023,2025-10-11T18:28:00Z,post,Unknown,30s,app
u2073,2025-10-11T19:08:00Z,post,M,20s,web
u2016,2025-10-11T23:51:00Z,post,F,20s,app
u2016,2025-10-12T03:07:00Z,comment,F,20s,app
u2045,2025-10-12T15:35:00Z,post,M,50s,app
u2003,2025-10-12T19:09:00Z,post,F,30s,app
u2045,2025-10-12T20:28:00Z,post,M,50s,app
u2023,2025-10-12T21:06:00Z,comment,Unknown,30s,app
u2063,2025-10-12T23:41:00Z,post,M,30s,web
u2063,2025-10-13T00:10:00Z,post,M,30s,web
u2032,2025-10-13T19:30:00Z,comment,M,50s,app
u2045,2025-10-13T21:26:00Z,comment,M,50s,app
u2032,2025-10-14T00:18:00Z,post,M,50s,app
u2045,2025-10-14T00:24:00Z,post,M,50s,app
u2070,2025-10-14T11:08:00Z,post,F,30s,app
u2026,2025-10-14T13:02:00Z,post,F,50s,app
u2070,2025-10-14T15:22:00Z,comment,F,30s,app
u2026,2025-10-14T17:19:00Z,post,F,50s,app
u2047,2025-10-14T19:20:00Z,comment,M,30s,web
u2066,2025-10-14T22:18:00Z,post,M,40s,web
u2047,2025-10-14T23:03:00Z,comment,M,30s,web
u2066,2025-10-15T03:23:00Z,post,M,40s,web
u2014,2025-10-15T09:43:00Z,comment,F,30s,web
u2014,2025-10-15T11:26:00Z,post,F,30s,web
u2017,2025-10-15T11:38:00Z,post,Unknown,30s,app
u2057,2025-10-15T12:03:00Z,post,M,20s,app
u2017,2025-10-15T13:12:00Z,comment,Unknown,30s,app
u2019,2025-10-15T13:29:00Z,comment,F,30s,app
u2057,2025-10-15T14:20:00Z,post,M,20s,app
u2076,2025-10-15T14:43:00Z,comment,F,10s,web
u2036,2025-10-15T15:13:00Z,comment,M,40s,web
u2036,2025-10-15T15:40:00Z,post,M,40s,web
u2019,2025-10-15T16:58:00Z,post,F,30s,app
u2076,2025-10-15T18:34:00Z,comment,F,10s,web
u2026,2025-10-15T19:38:00Z,comment,F,50s,app
u2053,2025-10-15T20:10:00Z,comment,F,20s,web
u2026,2025-10-15T22:36:00Z,comment,F,50s,app
u2053,2025-10-15T23:26:00Z,post,F,20s,web
u2078,2025-10-16T09:11:00Z,post,F,10s,app
u2078,2025-10-16T14:04:00Z,post,F,10s,app
u2017,2025-10-16T15:19:00Z,post,Unknown,30s,app
u2017,2025-10-16T17:53:00Z,post,Unknown,30s,app
u2019,2025-10-16T18:16:00Z,post,F,30s,app
u2036,2025-10-16T20:23:00Z,post,M,40s,web
u2076,2025-10-16T21:30:00Z,comment,F,10s,web
u2019,2025-10-16T21:36:00Z,comment,F,30s,app
u2053,2025-10-17T01:44:00Z,post,F,20s,web
u2078,2025-10-17T14:39:00Z,post,F,10s,app
u2068,2025-10-17T14:57:00Z,comment,M,40s,web
u2078,2025-10-17T18:56:00Z,post,F,10s,app
u2068,2025-10-17T20:42:00Z,post,M,40s,web
u2068,2025-10-18T23:52:00Z,post,M,40s,web
u2068,2025-10-19T01:07:00Z,comment,M,40s,web
u2059,2025-10-19T14:03:00Z,comment,F,40s,app
u2059,2025-10-19T17:21:00Z,post,F,40s,app
u2056,2025-10-19T19:09:00Z,post,F,60s,app
u2044,2025-10-19T19:58:00Z,post,M,30s,app
u2074,2025-10-19T20:13:00Z,comment,F,20s,Unknown
u2074,2025-10-19T21:05:00Z,post,F,20s,Unknown
u2054,2025-10-19T21:16:00Z,post,M,40s,app
u2056,2025-10-19T22:06:00Z,post,F,60s,app
u2044,2025-10-20T00:34:00Z,post,M,30s,app
u2054,2025-10-20T00:51:00Z,comment,M,40s,app
u2011,2025-10-20T17:08:00Z,comment,M,70s,app
u2059,2025-10-20T18:31:00Z,comment,F,40s,app
u2011,2025-10-20T19:35:00Z,post,M,70s,app
u2044,2025-10-21T00:47:00Z,post,M,30s,app
u2074,2025-10-21T00:55:00Z,comment,F,20s,Unknown
u2054,2025-10-21T02:48:00Z,comment,M,40s,app
u2074,2025-10-21T03:31:00Z,post,F,20s,Unknown
u2054,2025-10-21T07:21:00Z,post,M,40s,app
u2011,2025-10-21T22:15:00Z,post,M,70s,app
u2049,2025-10-21T23:24:00Z,post,M,Unknown,app
u2011,2025-10-22T00:59:00Z,comment,M,70s,app
u2049,2025-10-22T01:50:00Z,post,M,Unknown,app
u2039,2025-10-22T11:57:00Z,comment,F,50s,app
u2039,2025-10-22T14:18:00Z,post,F,50s,app
u2025,2025-10-22T14:54:00Z,post,F,20s,web
u2077,2025-10-22T16:37:00Z,post,F,10s,app
u2001,2025-10-22T18:26:00Z,post,M,10s,web
u2025,2025-10-22T18:34:00Z,comment,F,20s,web
u2077,2025-10-22T19:52:00Z,post,F,10s,app
u2001,2025-10-22T23:01:00Z,comment,M,10s,web
u2038,2025-10-23T12:39:00Z,comment,F,30s,app
u2038,2025-10-23T15:27:00Z,comment,F,30s,app
u2051,2025-10-23T17:57:00Z,comment,Unknown,50s,web
u2039,2025-10-23T20:00:00Z,post,F,50s,app
u2025,2025-10-23T20:10:00Z,post,F,20s,web
u2058,2025-10-23T21:54:00Z,comment,M,30s,app
u2077,2025-10-23T22:11:00Z,post,F,10s,app
u2051,2025-10-23T22:15:00Z,comment,Unknown,50s,web
u2025,2025-10-23T22:57:00Z,post,F,20s,web
u2064,2025-10-24T00:27:00Z,comment,Unknown,30s,Unknown
u2058,2025-10-24T00:35:00Z,comment,M,30s,app
u2064,2025-10-24T01:15:00Z,comment,Unknown,30s,Unknown
u2077,2025-10-24T02:04:00Z,post,F,10s,app
u2001,2025-10-24T02:29:00Z,post,M,10s,web
u2071,2025-10-24T15:20:00Z,comment,M,Unknown,app
u2055,2025-10-24T18:25:00Z,post,M,20s,web
u2038,2025-10-24T18:33:00Z,comment,F,30s,app
u2071,2025-10-24T18:41:00Z,post,M,Unknown,app
u2027,2025-10-24T19:33:00Z,comment,M,20s,app
u2038,2025-10-24T19:40:00Z,comment,F,30s,app
u2055,2025-10-24T22:01:00Z,comment,M,20s,web
u2027,2025-10-24T22:37:00Z,comment,M,20s,app
u2007,2025-10-25T09:48:00Z,comment,M,50s,app
u2007,2025-10-25T11:17:00Z,comment,M,50s,app
u2050,2025-10-25T12:02:00Z,post,F,30s,web
u2050,2025-10-25T14:32:00Z,post,F,30s,web
u2013,2025-10-25T15:15:00Z,post,M,70s,app
u2013,2025-10-25T19:15:00Z,comment,M,70s,app
u2071,2025-10-25T23:27:00Z,post,M,Unknown,app
u2055,2025-10-26T01:05:00Z,post,M,20s,web
u2027,2025-10-26T02:52:00Z,post,M,20s,app
u2027,2025-10-26T05:21:00Z,post,M,20s,app
u2035,2025-10-26T14:51:00Z,post,Unknown,20s,app
u2007,2025-10-26T15:27:00Z,comment,M,50s,app
u2050,2025-10-26T17:14:00Z,comment,F,30s,web
u2035,2025-10-26T17:59:00Z,comment,Unknown,20s,app
u2050,2025-10-26T22:23:00Z,comment,F,30s,web
u2035,2025-10-27T20:03:00Z,comment,Unknown,20s,app
u2035,2025-10-28T00:14:00Z,comment,Unknown,20s,app
